,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.3489583333333333,0.3645833333333333,0.2708333333333333,0.3125,0.23958333333333334,0.296875,0.2916666666666667,0.3125,0.24479166666666666,0.2604166666666667
model.features.3,0.25,0.2552083333333333,0.2552083333333333,0.2552083333333333,0.2916666666666667,0.3697916666666667,0.3125,0.2604166666666667,0.2760416666666667,0.25
model.features.6,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
model.features.8,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.2552083333333333
model.features.10,0.2552083333333333,0.2552083333333333,0.22916666666666666,0.2552083333333333,0.25,0.2552083333333333,0.2760416666666667,0.25,0.25,0.25
