,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.90625,0.578125,0.4114583333333333,0.5520833333333334,0.3697916666666667,0.359375,0.3020833333333333,0.265625,0.265625,0.2760416666666667
model.features.3,0.25,0.25,0.265625,0.328125,0.2760416666666667,0.22916666666666666,0.265625,0.28125,0.265625,0.25
model.features.6,0.296875,0.2552083333333333,0.25,0.1875,0.22395833333333334,0.25,0.25,0.25,0.25,0.25
model.features.8,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.3125,0.2864583333333333
model.features.10,0.3020833333333333,0.3229166666666667,0.25,0.25,0.25,0.25,0.24479166666666666,0.234375,0.23958333333333334,0.25
