,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.8333333333333334,0.5833333333333334,0.4947916666666667,0.4479166666666667,0.3489583333333333,0.375,0.3125,0.265625,0.3229166666666667,0.296875
model.features.3,0.2604166666666667,0.25,0.2604166666666667,0.25,0.25,0.2604166666666667,0.3229166666666667,0.3177083333333333,0.3229166666666667,0.3125
model.features.6,0.2864583333333333,0.3229166666666667,0.2604166666666667,0.25,0.25,0.25,0.25,0.25,0.25,0.28125
model.features.8,0.25,0.24479166666666666,0.2552083333333333,0.2552083333333333,0.25,0.2552083333333333,0.25,0.25,0.25,0.25
model.features.10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.234375
