,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.23958333333333334,0.3020833333333333,0.22395833333333334,0.052083333333333336,0.0,0.0,0.010416666666666666,0.10416666666666667,0.03125,0.03125
model.features.3,0.11979166666666667,0.026041666666666668,0.0,0.005208333333333333,0.010416666666666666,0.010416666666666666,0.07291666666666667,0.10416666666666667,0.14583333333333334,0.13541666666666666
model.features.6,0.005208333333333333,0.015625,0.005208333333333333,0.041666666666666664,0.125,0.2552083333333333,0.23958333333333334,0.19791666666666666,0.23958333333333334,0.234375
model.features.8,0.28125,0.2708333333333333,0.25,0.3020833333333333,0.22395833333333334,0.1875,0.20833333333333334,0.07291666666666667,0.078125,0.125
model.features.10,0.11979166666666667,0.0,0.0,0.0,0.125,0.0,0.23958333333333334,0.234375,0.18229166666666666,0.25
