,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.8229166666666666,0.6875,0.421875,0.46875,0.4583333333333333,0.421875,0.4583333333333333,0.4270833333333333,0.375,0.359375
model.features.3,0.40625,0.3958333333333333,0.3541666666666667,0.25,0.25,0.3177083333333333,0.34375,0.3072916666666667,0.25,0.25
model.features.6,0.25,0.2552083333333333,0.25,0.2552083333333333,0.3125,0.22916666666666666,0.22395833333333334,0.25,0.23958333333333334,0.21875
model.features.8,0.21354166666666666,0.1875,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
model.features.10,0.25,0.25,0.25,0.25,0.24479166666666666,0.22395833333333334,0.234375,0.25,0.25,0.25
