,untarined,0,1,2,3,4,5,6,7,8,9,10
faces,0.0,0.0,1.0,0.8125,0.9791666666666666,1.0,0.9375,0.9375,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666
bodies,0.0,0.0,0.0,0.8541666666666666,0.8958333333333334,0.875,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9583333333333334,0.9583333333333334,0.9375
places,0.0,0.0,0.875,0.4375,0.9166666666666666,0.9166666666666666,0.8125,0.9375,0.8958333333333334,0.8958333333333334,0.9375,0.9375
characters,0.0,0.0,0.5625,0.9166666666666666,0.875,0.9583333333333334,0.9791666666666666,0.9583333333333334,0.9791666666666666,0.9791666666666666,0.9791666666666666,0.9791666666666666
