,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.7864583333333334,0.6302083333333334,0.6197916666666666,0.4635416666666667,0.40625,0.3229166666666667,0.375,0.2760416666666667,0.2708333333333333,0.23958333333333334
model.features.3,0.265625,0.2604166666666667,0.265625,0.25,0.25,0.25,0.2760416666666667,0.2552083333333333,0.2552083333333333,0.2604166666666667
model.features.6,0.234375,0.2552083333333333,0.2552083333333333,0.24479166666666666,0.22916666666666666,0.23958333333333334,0.2604166666666667,0.234375,0.23958333333333334,0.21354166666666666
model.features.8,0.21354166666666666,0.234375,0.24479166666666666,0.2708333333333333,0.2708333333333333,0.25,0.2604166666666667,0.2760416666666667,0.25,0.25
model.features.10,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
