,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.7708333333333334,0.7760416666666666,0.5208333333333334,0.4375,0.2708333333333333,0.2864583333333333,0.328125,0.2864583333333333,0.265625,0.2552083333333333
model.features.3,0.2552083333333333,0.3333333333333333,0.2708333333333333,0.2604166666666667,0.21354166666666666,0.4270833333333333,0.2916666666666667,0.3072916666666667,0.2916666666666667,0.265625
model.features.6,0.2604166666666667,0.3020833333333333,0.3645833333333333,0.2916666666666667,0.3177083333333333,0.3177083333333333,0.3385416666666667,0.2552083333333333,0.25,0.25
model.features.8,0.2708333333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
model.features.10,0.2552083333333333,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
