,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.59375,0.515625,0.65625,0.4895833333333333,0.484375,0.28125,0.24479166666666666,0.2552083333333333,0.2916666666666667,0.3645833333333333
model.features.3,0.328125,0.3125,0.375,0.40625,0.375,0.3177083333333333,0.296875,0.3020833333333333,0.28125,0.22395833333333334
model.features.6,0.3177083333333333,0.25,0.2604166666666667,0.25,0.25,0.25,0.25,0.25,0.25,0.25
model.features.8,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.14583333333333334,0.19270833333333334
model.features.10,0.25,0.25,0.25,0.25,0.3072916666666667,0.25,0.22916666666666666,0.25,0.2604166666666667,0.25
