,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9
model.features.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model.features.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model.features.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model.features.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model.features.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
