,epoch,accuracy
0,untrained,0.005208333333333333
1,0,0.0
2,1,0.609375
3,2,0.7552083333333334
4,3,0.9166666666666666
5,4,0.9375
6,5,0.9270833333333334
7,6,0.953125
8,7,0.9583333333333334
9,8,0.953125
10,9,0.9635416666666666
11,10,0.9583333333333334
